temperature,n,mean_overall,std_overall,iqr_overall,min,max,n_distinct,mode,delta_mean_vs_t0,coverage_na_rate
0.0,300,1.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0
0.1,300,1.607,0.496,1.0,1.0,3.0,3,2.0,0.607,0.0
0.2,300,1.623,0.485,1.0,1.0,2.0,2,2.0,0.623,0.013
0.3,300,1.54,0.499,1.0,1.0,2.0,2,2.0,0.54,0.03
0.4,300,1.53,0.532,1.0,1.0,3.0,3,2.0,0.53,0.06
0.5,300,1.517,0.557,1.0,1.0,3.0,3,1.0,0.517,0.097
0.6,300,1.583,0.667,1.0,1.0,5.0,5,2.0,0.583,0.23
0.7,300,1.63,0.59,1.0,1.0,4.0,4,2.0,0.63,0.263
0.8,300,1.667,0.724,1.0,1.0,7.0,6,2.0,0.667,0.24
0.9,300,1.673,0.731,1.0,1.0,6.0,6,2.0,0.673,0.247
1.0,300,1.74,0.674,1.0,1.0,5.0,5,2.0,0.74,0.217
